store,item,lead_time_days,target_service_level,expected_lead_time_demand,safety_stock,p95_lead_time_demand
1,1,7,0.95,121.85063314313894,19.490245470023865,141.3408786131628
1,2,7,0.95,333.72985709846483,33.4408241669679,367.17068126543273
1,3,7,0.95,201.203890850175,25.44606948477761,226.6499603349526
1,4,7,0.95,122.52352272233931,19.85111026077108,142.3746329831104
1,5,7,0.95,103.66864263438742,17.240941548532362,120.90958418291979
1,6,7,0.95,325.89170528651454,33.28316618921377,359.1748714757283
1,7,7,0.95,311.355909763294,33.74683764079509,345.1027474040891
1,8,7,0.95,433.2477502124584,38.89150774430624,472.13925795676465
1,9,7,0.95,265.7428707274508,31.546468738696547,297.28933946614734
1,10,7,0.95,418.72655701822396,38.58823761172175,457.3147946299457
1,11,7,0.95,392.5269247543638,37.054592153083036,429.5815169074468
1,12,7,0.95,386.1265776375147,36.65544353539775,422.78202117291244
1,13,7,0.95,453.43864855114464,39.930097014105854,493.3687455652505
1,14,7,0.95,325.2689810456891,33.315500841409744,358.58448188709883
1,15,7,0.95,501.90484655729244,42.68684752646584,544.5916940837583
1,16,7,0.95,139.24489220290928,21.402495789800497,160.64738799270978
1,17,7,0.95,179.20535104630508,23.780765632448407,202.9861166787535
1,18,7,0.95,471.1032558386092,40.75997344177068,511.86322928037987
1,19,7,0.95,227.35442218244384,28.262433602370066,255.6168557848139
1,20,7,0.95,262.2416182453501,29.42505150882488,291.66666975417496
1,21,7,0.95,223.97706542375803,27.163235785013597,251.14030120877163
1,22,7,0.95,453.4615768292751,40.19444409713441,493.6560209264095
1,23,7,0.95,168.66866725603145,23.217870690153376,191.88653794618483
1,24,7,0.95,351.3897035490996,36.7837235884781,388.1734271375777
1,25,7,0.95,446.6092670369942,38.51320297050313,485.1224700074973
1,26,7,0.95,262.655565372473,29.9970423013271,292.6526076738001
1,27,7,0.95,123.70153795623676,19.383716263525855,143.08525421976262
1,28,7,0.95,497.67754052326643,43.23545711662507,540.9129976398915
1,29,7,0.95,390.8860125594392,35.37922251187814,426.26523507131736
1,30,7,0.95,226.80080558823636,27.338371048766902,254.13917663700326
1,31,7,0.95,319.77278407236093,33.16200488833505,352.934788960696
1,32,7,0.95,242.20988918584985,29.11966351999874,271.3295527058486
1,33,7,0.95,397.73586734316,36.03265255236403,433.76851989552404
1,34,7,0.95,148.39532579443198,20.569666324752944,168.96499211918493
1,35,7,0.95,363.3288878181587,35.39892731906008,398.7278151372188
1,36,7,0.95,427.09466904451807,37.48669577603033,464.5813648205484
1,37,7,0.95,157.4886981613307,23.33897278244075,180.82767094377144
1,38,7,0.95,450.2168108118117,40.433382981536965,490.65019379334865
